Designator,Mid X,Mid Y,Rotation,Layer
@HOLE0,132.2971,-76.9366,0.0,top
@HOLE1,165.2971,-76.9366,0.0,top
@HOLE2,132.2971,-124.9366,0.0,top
@HOLE3,165.2971,-124.9366,0.0,top
@HOLE4,115.9411,-135.0236,0.0,top
@HOLE5,115.9411,-74.9836,0.0,top
@HOLE6,181.0611,-74.9836,0.0,top
@HOLE7,181.0611,-135.0236,0.0,top
ACT0,125.6411,-75.2856,90.0,top
C0,151.09,-133.99,180.0,bottom
C1,125.6411,-102.5398,180.0,top
C2,125.6411,-132.5626,0.0,top
C3,125.6411,-134.5946,0.0,top
C4,125.6411,-136.6266,0.0,top
C5,177.96,-77.53,270.0,top
CAMERA0,151.0411,-133.9596,0.0,top
HDMI0,123.3909,-89.2718,270.0,top
IC0,125.6411,-100.0506,0.0,top
J1,165.7971,-98.4366,90.0,top
J2,131.7971,-98.4366,90.0,top
JP1,171.45,-88.9,180.0,top
JP2,176.4411,-105.0036,270.0,top
JP3,171.47,-82.67,180.0,top
JP4,134.415,-129.76,90.0,top
JP5,181.94,-81.13,0.0,top
JP6,181.93,-87.32,0.0,top
PWR0,125.6411,-73.2536,90.0,top
R1,125.6411,-77.3176,0.0,top
R10,124.09,-128.19,0.0,top
R11,124.07,-130.4504,0.0,top
R2,125.6411,-79.3496,0.0,top
R3,125.6411,-104.5972,0.0,top
R4,125.6411,-106.6292,0.0,top
R5,125.6411,-108.6612,0.0,top
R6,125.6411,-110.7186,180.0,top
R7,125.6411,-112.7506,0.0,top
R8,123.8,-118.49,0.0,top
R9,123.76,-120.64,0.0,top
SD_CARD0,120.2055,-106.5784,90.0,bottom
U1,166.98,-134.44,90.0,top
U2,131.19,-134.65,90.0,top
U3,123.495,-124.92,90.0,top
U4,175.19,-76.01,180.0,top
US0,116.13,-125.37,270.0,top
US1,116.6241,-105.6386,270.0,top
